team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
Seattle Orcas,Texas Super Kings,40.0,30.0,0.0,2,2,33.33333333333333,66.66666666666666,723.0,492.0,23.0,20.0,175.0,0.0,Seattle Orcas,Bowl,-1.0,86.0,63.0,Church Street Park,Balanced,0
Washington Freedom,San Francisco Unicorns,70.0,60.0,0.0,2,2,80.0,25.0,381.6666666666667,379.3333333333333,12.0,14.666666666666666,151.0,0.0,San Francisco Unicorns,Bowl,-1.0,89.0,57.0,Church Street Park,Balanced,1
Los Angeles Knight Riders,Seattle Orcas,60.0,40.0,0.0,0,3,50.0,33.33333333333333,132.0,151.0,8.0,3.6666666666666665,145.0,0.0,Los Angeles Knight Riders,Bowl,-0.1,82.0,56.0,Church Street Park,Balanced,0
MI New York,Washington Freedom,50.0,70.0,0.0,1,3,50.0,80.0,377.6666666666667,308.5,15.666666666666666,12.0,151.0,0.0,Mi New York,Bowl,-1.2,86.0,69.0,Church Street Park,Balanced,0
San Francisco Unicorns,Texas Super Kings,60.0,30.0,0.0,2,2,25.0,66.66666666666666,168.0,154.75,8.0,7.5,153.0,0.0,San Francisco Unicorns,Bat,-0.8,82.0,55.0,Church Street Park,Balanced,1
MI New York,Seattle Orcas,50.0,40.0,0.0,2,3,50.0,33.33333333333333,161.5,155.75,5.75,4.25,156.0,16.666666666666664,Seattle Orcas,Bowl,-1.5,81.0,55.0,Church Street Park,Balanced,1
Washington Freedom,MI New York,70.0,50.0,0.0,3,2,70.0,50.0,155.4,168.0,6.0,6.2,175.0,62.5,Washington Freedom,Bowl,36.8,27.0,1.0,Grand Prairie Stadium,Balanced,1
Seattle Orcas,Texas Super Kings,40.0,30.0,100.0,4,3,30.0,30.0,163.6,158.2,5.0,7.4,175.0,62.5,Texas Super Kings,Bat,31.4,43.0,1.0,Grand Prairie Stadium,Balanced,0
MI New York,Texas Super Kings,50.0,30.0,0.0,3,2,50.0,30.0,157.6,147.2,6.6,8.0,166.0,60.0,Mi New York,Bowl,31.2,45.0,1.0,Grand Prairie Stadium,Balanced,0
Seattle Orcas,MI New York,40.0,50.0,100.0,4,3,30.0,50.0,159.4,159.0,4.2,5.8,166.0,54.54545454545454,Mi New York,Bowl,33.8,33.0,1.0,Grand Prairie Stadium,Balanced,1
San Francisco Unicorns,Washington Freedom,50.0,70.0,40.0,3,4,62.5,62.5,159.6,185.8,4.8,5.8,226.0,50.0,San Francisco Unicorns,Bowl,15.8,77.0,1.0,Oakland Coliseum,Batting,0
